메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,칼로리,조회수,분량,주재료 이름,부재료 이름,양념,레시피,조리시간
견과류 영양솥밥,"['밥', '죽', '스프']",한식,메인요리,쉬움,311.0,28441,4,"['백미 1과3/4컵', '은행 12개', '밤 8개', '대추 4개', '잣 1큰술']",['물 1과3/4컵'],,"['1. 쌀을 씻어 30분 정도 물에 불려둔다.', '2. 은행은 볶아 껍질을 벗긴다.', '3. 밤은 껍질을 벗기고 대추는 깨끗이 씻어둔다.', '4. 쌀과 밤을 넣고 밥을 짓다가 한소끔 끓어오르면 대추, 은행, 잣을 넣고 약한 불로 뜸을 들인다.', '레시피 출처 : 월간 헬스조선 / 대추나 잣, 호두 등의 견과류는 오랫동안 익힐 필요가 없다. 대추는 무르거나 퍼질 수 있으므로 밥을 다 한 뒤 뜸들일 때 넣는다.']",60
굴밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,320.0,145639,2,"['굴 300g', '쌀 200g', '보리쌀 80g']","['어묵(찐것) 50g', '표고버섯 3장', '당근 50g', '완두콩(통조림) 30g', '물 1과1/2컵']",['소금 1작은술'],"['1. 쌀과 보리쌀을 깨끗이 씻어 물에 30분 동안 담가둔다.', '2. 굴은 소금물에 흔들어 씻은 뒤 물기를 뺀다. 찐 어묵은 0.2cm 두께로 썬다.', '3. 마른 표고버섯은 따뜻한 물에 불려 밑동을 없애고 물기를 꼭 짠 다음 잘게 다진다.', '4. 당근은 잘게 다진다.', '5. 쌀과 보리쌀은 깨끗이 씻어 물에 30분 간 불린다.', '6. 불린 쌀과 보리 쌀은 체에 밭쳐 물기를 뺀다.', '7. 냄비에 불린 쌀과 보리쌀, 굴, 찐어묵, 표고버섯, 당근, 완두콩, 소금을 넣어 섞은뒤 물 1과 1/2컵을 넣어 밥을 한다.']",30
김치볶음밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,560.0,337639,2,"['김치(잘게썬것) 1/3포기', '밥 2공기']","['감자 1/4개', '양파 1/2개', '햄 60g', '식용유 약간', '계란 2개']","['소금 약간', '후춧가루 약간']","['1. 김치는 1cm 크기로 썰고 햄, 양파, 감자도 1cm 정도의 크기로 잘게 썬다.', '2. 프라이팬에 기름을 두르고 김치와 감자를 볶다가 햄과 양파를 넣고 볶아준다.', '3. 양파가 어느 정도 익으면 밥을 넣고 펴듯이 볶아준다.', '4. 소금과 후춧가루로 간을 맞추고 계란프라이를 얹어 낸다.']",20
꽃상추쌈,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,352.0,103833,2,"['상추 4장', '밥 1그릇']","['다진쇠고기 100g', '다진양파 1/2개']","['간장 1큰술', '설탕 1/2큰술', '다진파 약간', '다진마늘 약간', '깨소금 약간', '참기름 약간', '고추장 약간']","['1. 쇠고기, 양파는 다져서 준비한다.(양파는 다진 후 물기를 제거한다)', '2. ①의 재료에 불고기 양념(간장 1/2큰술, 설탕 1/4큰술, 참기름, 깨소금, 다진 마늘, 다진 파)을 약하게 하여 고슬고슬하게 볶는다.', '3. 뜨거운 밥을 준비하여 ②의 재료와 깨소금등을 넣어 양념한다.', '4. 상추는 한 입 크기 정도로 손으로 찢어 준비한다.', '5. 밥이 어느정도 식으면 한 입 크기로 찢어놓은 상추에 밥을 동글게 빚어 그 위에 올려놓는다.', '6. 먹기 직전에 고추장을 약간 뿌린다.']",30
녹두죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,280.0,66164,2,"['녹두 1컵', '쌀 2컵']",['물 14컵'],"['소금 약간', '설탕 약간']","['1. 녹두는 깨끗이 씻어 일어 건진 다음 물을 붓고 푹 삶아 체에 걸러 놓는다.', '2. 쌀은 깨끗이 씻어 물에 불려 건져 놓는다.', '3. 냄비에 녹두의 윗 물만 덜어 내어 붓고 쌀을 끓여 쌀알이 어느 정도 퍼지게 되면 녹두 앙금을 넣어 섞으면서 다시 한 번 끓인다. 녹두 앙금은 나중에 넣어 끓인다.', '4. 쌀알이 잘 퍼지면 그릇에 담아 대추채를 고명으로 띄워내고, 기호에 따라 소금이나 설탕을 넣어서 먹는다.']",60
단팥죽,"['밥', '죽', '스프']",한식,메인요리,쉬움,166.0,75241,2,"['팥 2컵', '설탕 2컵', '인절미 100g', '소금 약간']","['물 10컵', '대추 1개']",,"['1. 팥은 쭉정이를 골라 내고 깨끗하게 씻어서 준비한다.', '2. 냄비에 팥의 4배 정도의 물을 붓고 한소끔 끓이다가 팥물을 따라내 버린다.', '3. 다시 냄비에 물을 팥의 4배 정도 넣고 끓이면서 소금을 약간 넣고 설탕량의 2/3 정도를 넣 고 팥알이 충분히 삶아질 수 있도록 약한 불에 은근히 끓인다.', '4. 인절미를 네모나게 썰어 약간 굳힌 다음 석쇠에 놓고 살짝 부풀정도로 굽는다.', '5. 나머지 설탕을 넣어서 팥알이 충분히 설탕맛이 배고 국물이 농축되면 그릇에 담고 구워 놓은 떡과 대추 고명을 얹어 낸다.']",60
달래간장과 모둠버섯밥,"['밥', '죽', '스프']",한식,메인요리,쉬움,451.0,18266,2,"['표고버섯 2장', '팽이버섯 1봉', '느타리버섯 20g', '양송이버섯 2개', '새송이버섯 1개', '쌀 100g']","['달래 10g', '간장 1큰술', '고춧가루 1작은술', '참기름 약간', '깨소금 약간']",,"['1. 다시마는 젖은 행주로 깨끗이 닦은 후 가장자리에 칼집을 낸다.', '2. 표고버섯은 꽁지를 떼어버린 후 어슷썰고, 느타리는 찢어두고, 팽이버섯은 밑둥을 잘라낸다. 새송이버섯은 표고버섯과 비슷한 크기로 썰고 양송이버섯은 껍질을 벗기고 모양대로 슬라이스 한다.', '3. 쌀은 깨끗이 씻어 불려둔다.', '4. 밥솥 바닥에 ①의 다시마를 깔고 ②와 ③을 혼합하여 밥을 짓는다.', '5. 달래는 깨끗이 다듬어 송송 썬 후 분량의 양념을 섞어 달래간장을 만든다.', '6. 밥이 다 되면 그릇에 밥과 버섯을 고루 섞어서 담고 달래간장을 곁들인다.']",60
닭날개주먹밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,480.0,42391,4,"['찹쌀 2/3컵씩', '멥쌀 2/3컵씩', '닭날개 10개']",['흑임자 약간'],"['소금 약간', '간장 2큰술', '청주 1큰술', '설탕 1과1/2큰술', '물 3큰술']","['1. 찹쌀과 멥쌀은 씻어 30분 정도 불린 뒤 고슬고슬하게 밥을 짓는다.', '2. ①의 밥에 소금과 검은깨를 넣어 섞는다.', '3. 닭날개는 끝부분을 잘라버리고 살을 뼈의 한쪽 끝으로 발라 모은다.', '4. 닭날개 조림간장을 끓이다 ③의 닭날개를 넣어 조린다.', '5. 랩을 깔고 ②의 밥을 적당량 펼친 뒤 조린 닭날개를 넣어 동그랗게 감싼다.']",60
닭안심죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,270.0,75328,2,"['닭(안심) 50g', '찬밥 1/2공기']","['물 2/3컵', '옥수수통조림 1큰술', '팽이버섯 약간', '버터 1작은술']","['소금 약간', '후춧가루 약간']","['1. 팽이버섯은 송송 썰고 다진 닭고기를 버터에 볶아 살짝 익힌다.', '2. 닭고기가 반쯤 익으면 밥을 넣어 볶는다.', '3. 밥을 넣어 볶다 물을 부어 중불에서 끓인다.', '4. 밥이 퍼지면 옥수수알을 넣고 한소끔 끓인 후 그릇에 담아 낸다.', '5. 닭을 삶아 국물은 육수로, 닭살은 가늘게 찢어 고명으로 사용해도 좋다.']",30
대구계란죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,260.0,40315,1,"['대구(살) 50g', '쌀(가루) 1/2컵']","['계란노른자 1개', '대파 1/4뿌리', '물 약간']",['멸치 5마리'],"['1. 대구는 살만 발라 으깨고 대파는 어슷 썰어둔다.', '2. 멸치를 물에 넣고 끓여 국물이 우러나면 건져낸다.', '3. 우려낸 멸칫국물에 대구살과 대파를 넣고 끓이다가 쌀가루를 뿌리듯이 넣으며 저어준다.', '4. 쌀가루가 익으며 걸죽해지면 계란 노른자를 넣고 한소끔 더 끓인다.', '5. 소금으로 간을 맞추고 참기름 한방울을 떨어뜨려 낸다.']",20
