메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,칼로리,조회수,분량,주재료 이름,부재료 이름,양념,레시피,조리시간
계란말이주먹밥,"['밥', '죽', '스프']",한식,메인요리,어려움,382,305818,2,"['밥 2공기', '계란 4개']","['말린 표고버섯 2개', '당근 30g', '미나리 10줄기', '소금 약간', '식용유 약간', '오이 1/2개', '다시마 1조각']","['식초(배합초) 1큰술', '설탕 1큰술', '소금 1/2작은술']","['1. 다시마는 마른 행주로 닦은 후 냄비 바닥에 깔아 쌀을 넣어 고슬하게 밥을 짓고, 다시마를 빼낸 후 분량의 배합초를 넣어 버무려 식힌다.', '2. 볼에 계란을 풀고 소금간을 한 뒤 프라이팬에 식용유를 두르고 계란 지단을 부친다.', '3. 지단이 식으면 가로 x 세로가 20cm x 20cm 정도가 되도록 자른다.', '4. 표고버섯을 불린 다음 얇게 채썰고, 오이는 돌려깎기한 후 껍질 부분만 채를 썰고, 당근은 곱게 채썰어 각각 볶은 후 소금으로 간을 한다.', '5. 미나리는 잎을 떼고 끓는 소금물에 데친다.', '6. 계란 지단 위에 밥을 펴고 볶아 둔 표고버섯, 오이, 당근을 올리고 김밥 말듯이 말아준 후 데친 미나리로 한입 크기 마다 묶어서 썬다.']",63
골뱅이덮밥,"['밥', '죽', '스프']",한식,메인요리,보통,360,59614,4,"['밥 4공기', '골뱅이 200g']","['오이 1개', '당근 1/2개', '양파 1/2개', '깻잎 10장']","['고추장 2큰술', '고춧가루 1큰술', '설탕 2큰술', '간장 1/2큰술', '식초 1큰술', '마늘 1/2큰술', '깨소금 1/2큰술', '참기름 1큰술', '후춧가루 1/4작은술']","['1. 손질한 골뱅이를 먹기 좋게 썬다.', '2. 오이는 씨 부분을 없애고, 잘게 깍둑썰기한다.', '3. 당근, 양파도 오이와 같은 크기로 자르고 깻잎도 잘게 썬다.', '4. 분량의 양념 재료를 넣어 양념장을 만든다.', '5. 골뱅이 자른 것, 오이, 당근, 양파, 깻잎 다진 것에 양념장을 넣고 골고루 잘 버무린다.', '6. 밥을 따뜻하게 준비하여 ⑤를 곁들여 낸다.']",54
굴무밥,"['밥', '죽', '스프']",한식,메인요리,어려움,319,21132,4,"['굴 100g', '쌀 2컵', '무 150g', '물 약간', '다시마(5cm x 5cm) 1장']","['간장 4큰술', '설탕 1큰술', '송송 썬실파 4큰술', '다진마늘 1큰술', '생강즙 1/2작은술', '통깨 1큰술', '참기름 1큰술', '고춧가루 1/2큰술']",,"['1. 쌀은 깨끗이 씻은 후 30분 정도 불린다.', '2. 무는 결 반대 방향으로 채썰어 물기를 뺀다.', '3. 굴은 흐르는 물에 헹군 후 체에 밭쳐 물기를 뺀다.', '4. 밥솥 바닥에 다시마와 채썬 무를 넣고 참기름으로 볶은 후 불린 쌀과 물을 자작하게 부어 끓인다.', '5. 밥이 끓으면 불을 줄이고, 씻어둔 굴을 얹어 뜸을 들인다.', '6. 분량의 양념 재료를 넣어 양념장을 만들어 놓는다.', '7. 밥이 고슬고슬하게 지어지면 주걱으로 살살 섞어서 그릇에 담아 낸다. 양념장을 곁들여 입 맛대로 먹는다. 담백한 맛의 나물과 함께 먹으면 더욱 맛깔스럽다.']",83
김밥계란말이,"['밥', '죽', '스프']",한식,메인요리,보통,357,112211,2,"['밥 2공기', '햄 100g', '김 6장']","['계란 2개', '식용유 약간']","['설탕 1큰술', '참기름 2작은술', '식초 2작은술', '소금 1/2작은술']","['1. 햄은 사방 0.5cm 두께로 길게 썰고 계란은 멍울 없이 잘 풀어둔다.', '2. 식초에 소금과 설탕을 넣어 녹인 후 뜨거운 밥에 넣어 섞어 식힌다.', '3. 김은 앞뒤로 살짝 구워낸다.', '4. 김을 1/3 가량 잘라낸 후 김발 위에 김을 깔고 밥을 김의 2/3 정도 차도록 평평하게 펴준다.', '5. ④의 밥 위에 햄을 올리고 김발을 당겨가며 밥을 말아준다.', '6. 달구어진 프라이팬에 기름을 둘러 키친타올로 닦아낸 후 약불에서 계란 지단을 부치는데, 계란의 윗면이 반정도 익었을 때 ⑤의 김밥을 올려 돌돌 말아준 후 계란을 완전히 익힌다.']",53
김치쌈밥,"['밥', '죽', '스프']",한식,메인요리,보통,340,92009,1,"['밥 2공기', '김칫잎 6장']","['소금 1작은술', '참기름 1큰술', '설탕 1작은술', '후춧가루 약간']",,"['1. 밥은 고슬고슬하게 지어 소금, 참기름으로 약하게 간을 한다.', '2. 김치는 잎으로 준비해 물에 한번 헹군 다음 두꺼운 줄기부분을 잘라낸다. 설탕, 소금, 후춧가루, 참기름 등으로 조물 조물 양념해 놓는다.', '3. 밥은 고슬고슬하게 지어 소금, 참기름으로 약하게 간을 한다.', '4. 밥을 한 입 크기로 쥔 다음 양념한 김칫잎으로 잘 싸준다.']",50
김치주먹밥,"['밥', '죽', '스프']",한식,메인요리,보통,380,132686,4,"['김치 1/2포기', '밥 2공기', '다진쇠고기(사태) 100g']","['오이 1/2개', '당근 1/2개', '단무지 약간', '미나리 30g', '새우 10마리']","['청주 1큰술', '간장 1큰술', '설탕 1큰술', '다진마늘 1/2작은술', '다진파 1작은술', '후춧가루 약간', '참기름 약간']","['1. 김치는 속을 털어내고 씻어서 물기를 짠 다음 일부분만 잘라 설탕 1큰술, 참기름으로 양념한다.', '2. 당근, 오이, 단무지는 잘게 다지고 당근만 살짝 볶는다.', '3. 쇠고기는 양념하여 프라이팬에 기름을 두르고 볶다가 밥과 ②의 재료를 넣고 살짝 볶아 밥을 준비한다.', '4. 김치잎을 펴서 볶아둔 밥을 놓고 흐트러지지 않게 오므려 싼 다음 미나리 데친 것으로 가운데를 묶어준다.']",58
김치채소쌈,"['밥', '죽', '스프']",한식,반찬,어려움,330,63768,2,"['김치잎 5장', '깻잎 4장', '양배추 4장', '근대잎 4장', '밥 2공기']","['쇠고기(우둔) 150g', '식용유 약간']","['소금 약간', '후춧가루 약간', '간장 1큰술', '다진파 1큰술', '설탕 1/2큰술', '마늘 1/2큰술', '참기름 1작은술', '깨소금 1작은술']","['1. 김치는 물기를 살짝 짜서 씻고, 깻잎도 깨끗이 씻는다.', '2. 양배추와 근대 잎은 끓는 물에 데쳐 내거나 찜통에 찐다.', '3. 쇠고기는 분량의 양념을 한다.', '4. 프라이팬에 식용유를 두르고 쇠고기를 볶다가 밥을 넣어 볶은 후 소금, 후춧가루로 간을 맞춘다.', '5. 김치, 깻잎, 양배추, 근대 잎에 ④를 넣어 각각 말아 준다.']",61
나물비빔밥,"['밥', '죽', '스프']",한식,메인요리,어려움,580,64077,4,"['쌀 4컵', '안심 200g', '콩나물 20g', '청포묵 1/2모', '미나리 20g', '숙주 20g', '도라지 20g', '고사리 20g', '계란 1개']","['고추장 1/2큰술', '양지머리 100g']","['소금 약간', '국간장 약간', '다진파 약간', '다진마늘 약간', '참기름 약간', '설탕 약간']","['1. 양지머리로 육수를 낸 후 식혀 기름을 걷어낸 후, 불린 쌀을 넣어 고슬고슬하게 밥을 짓는다.', '2. 안심은 불고기 양념하여 30분간 재워 국물 없이 구워 한 김 식으면 한입 크기로 자른다.', '3.청포묵은 고기와 비슷한 크기로 잘라 끓는 물에 데쳐내고 계란은 노른자와 흰자를 분리해 지단부쳐 곱게 채썬다.', '4 콩나물과 숙주, 미나리는 데쳐서 국간장과 참기름으로 간하고, 고사리와 도라지는 참기름을 두른 프라이팬에 살짝 볶아놓는다.', '5. 밥을 참기름으로 무쳐 그릇에 담고 준비한 재료를 고루 얹는다.']",81
닭고기콩나물덮밥,"['밥', '죽', '스프']",한식,메인요리,보통,400,55896,4,"['닭 한마리', '콩나물 300g', '밥 4공기']","['오이 1개', '김치 200g', '마늘 3쪽', '실파 약간']","['다진마늘 1큰술', '소금 약간', '후춧가루 약간', '고춧가루 2큰술', '파 2큰술', '육수 3큰술']","['1. 닭고기는 깨끗이 손질하여 적당한 크기로 토막내어 마늘, 생강 저민 것을 넣고 푹 삶은 다음 고기는 건져 살코기만 잘게 찢고, 뼈는 다시 넣어 끓여 육수를 낸 후 건져낸다.', '2. 콩나물은 꼬리를 떼고 소금물에 데친다.', '3. 오이는 채썰어 소금에 절였다가 물기를 꼭 짜고, 김치는 속을 털어내고 송송 썬다.', '4. 고춧가루에 간장, 다진 파, 다진 마늘, 깨소금, 참기름을 넣어 양념장을 만든다.', '5. 닭 살, 콩나물, 오이, 김치를 양념장으로 골고루 버무려 밥 위에 소담히 담아낸다.']",57
대나무쌈밥,"['밥', '죽', '스프']",한식,메인요리,어려움,325,31002,2,"['닭 20g', '찹쌀 30g', '쌀 90g', '대나무잎 4장']","['밤 2개', '대추 2개']","['굴소스 약간', '소금 약간']","['1. 닭고기는 살만 준비하여 소금과 간장, 굴소스로 양념하여 한번 볶아준다.', '2. 밤, 은행, 대추 등의 견과류는 얇게 썰어 준비한다.', '3. 찹쌀과 닭, 그리고 견과류를 넣고 밥을 짓는다.', '4. 밥을 지을 때 소금을 넣어 맛을 들인다.', '5. 대나무 잎을 깨끗이 닦아 준비한다.', '6. ④의 밥을 대나무 잎에 싸서 실로 묶는다.', '7. 김이 오른 찜통에 다시 한번 살짝 쪄서 대나무의 향이 배도록 한다.', '8. 보관할 때는 냉동실에 넣어 먹을 때마다 전자레인지 또는 찜기에 찐다.']",62
